M050-kode;M050-navn;M050-kortkode
NiN-3.0-T-C-PE-NA-MB-OA01-M050-06;ekstremt og svært kalkfattig fastbunn i humøs elv;OA01-M050-06
NiN-3.0-T-C-PE-NA-MB-OA01-M050-07;noe kalkfattig og kalkrik fastbunn i humøs elv;OA01-M050-07
NiN-3.0-T-C-PE-NA-MB-OA01-M050-08;turbid fast elvebunn;OA01-M050-08
NiN-3.0-T-C-PE-NA-MB-OA02-M050-01;ekstremt kalkfattig steinbunn i klar elv;OA02-M050-01
NiN-3.0-T-C-PE-NA-MB-OA02-M050-02;svært kalkfattig steinbunn i klar elv;OA02-M050-02
NiN-3.0-T-C-PE-NA-MB-OA02-M050-03;noe kalkfattig steinbunn i klar elv;OA02-M050-03
NiN-3.0-T-C-PE-NA-MB-OA02-M050-04;kalkrik steinbunn i klar elv;OA02-M050-04
NiN-3.0-T-C-PE-NA-MB-OA02-M050-05;steinbunn i humøs elv;OA02-M050-05
NiN-3.0-T-C-PE-NA-MB-OA02-M050-06;noe kalkfattig steinbunn i humøs elv;OA02-M050-06
NiN-3.0-T-C-PE-NA-MB-OA02-M050-07;kalkrik steinbunn i humøs elv;OA02-M050-07
NiN-3.0-T-C-PE-NA-MB-OA02-M050-08;turbid elvesedimentbunn;OA02-M050-08
NiN-3.0-T-C-PE-NA-MB-OB01-M050-01;kalkfattig undervannseng i elv;OB01-M050-01
NiN-3.0-T-C-PE-NA-MB-OB01-M050-02;kalkrik undervannseng i elv;OB01-M050-02
NiN-3.0-T-C-PE-NA-MB-OC01-M050-01;kalkfattig svak ferskvannskildebunn;OC01-M050-01
NiN-3.0-T-C-PE-NA-MB-OC01-M050-02;kalkfattig sterk ferskvannskildebunn;OC01-M050-02
NiN-3.0-T-C-PE-NA-MB-OC02-M050-01;varm ferskvannskildebunn;OC02-M050-01
NiN-3.0-T-C-PE-NA-MB-OC03-M050-01;kalkfattig dy- og gytjebunn i elv;OC03-M050-01
NiN-3.0-T-C-PE-NA-MB-OC03-M050-02;kalkrik dy- og gytjebunn i elv;OC03-M050-02
NiN-3.0-T-C-PE-NA-MB-OG01-M050-01;ny elvebunn;OG01-M050-01
NiN-3.0-T-C-PE-NA-MB-OM01-M050-01;kalkfattig kronisk fysisk forstyrret elvebunn;OM01-M050-01
NiN-3.0-T-C-PE-NA-MB-OM01-M050-02;kalkrik kronisk fysisk forstyrret elvebunn;OM01-M050-02
NiN-3.0-T-C-PE-NA-MB-OM01-M050-03;turbid minstevannførings-strekning i elv ;OM01-M050-03
NiN-3.0-T-C-PE-NA-MB-OM02-M050-01;kronisk kjemisk påvirket elvebunn;OM02-M050-01
NiN-3.0-T-C-PE-NA-MB-OM02-M050-02;kronisk forsuret elvebunn;OM02-M050-02
NiN-3.0-T-C-PE-NA-MB-TA01-M050-01;svært kalkfattig til noe kalkrikt nakent berg;TA01-M050-01
NiN-3.0-T-C-PE-NA-MB-TA01-M050-02;klart til ekstremt kalkrikt nakent berg;TA01-M050-02
NiN-3.0-T-C-PE-NA-MB-TA02-M050-01;kalkfattig til litt kalkrik åpen grunnlendt mark;TA02-M050-01
NiN-3.0-T-C-PE-NA-MB-TA02-M050-02;temmelig til ekstremt kalkrik åpen grunnlendt mark;TA02-M050-02
NiN-3.0-T-C-PE-NA-MB-TA03-M050-01;kalkfattig til litt kalkrik arktisk-alpin hei og leside;TA03-M050-01
NiN-3.0-T-C-PE-NA-MB-TA03-M050-02;kalkrik til saltanriket arktisk-alpin hei og leside;TA03-M050-02
NiN-3.0-T-C-PE-NA-MB-TA04-M050-01;kalkfattig til litt kalkrik arktisk-alpin grasmark;TA04-M050-01
NiN-3.0-T-C-PE-NA-MB-TA04-M050-02;klart kalkrik arktisk-alpin grasmark;TA04-M050-02
NiN-3.0-T-C-PE-NA-MB-TB01-M050-01;kalkfattig- til intermediær skog;TB01-M050-01
NiN-3.0-T-C-PE-NA-MB-TB01-M050-02;kalkskog;TB01-M050-02
NiN-3.0-T-C-PE-NA-MB-TC01-M050-01;strandberg;TC01-M050-01
NiN-3.0-T-C-PE-NA-MB-TC02-M050-01;kalkfattig til litt kalkrik grotte og overheng;TC02-M050-01
NiN-3.0-T-C-PE-NA-MB-TC02-M050-02;sterkt kalkrik grotte og overheng;TC02-M050-02
NiN-3.0-T-C-PE-NA-MB-TC03-M050-01;leire- og siltstrand i geolittoral;TC03-M050-01
NiN-3.0-T-C-PE-NA-MB-TC03-M050-02;sand-, skjellsand-, grus-, og ruglebunn-strand i geo- til supralittoral;TC03-M050-02
NiN-3.0-T-C-PE-NA-MB-TC03-M050-03;stein- og blokkstrand i geo- til supralittoral;TC03-M050-03
NiN-3.0-T-C-PE-NA-MB-TC04-M050-01;saltanrikningsmark;TC04-M050-01
NiN-3.0-T-C-PE-NA-MB-TC05-M050-01;strandeng;TC05-M050-01
NiN-3.0-T-C-PE-NA-MB-TC05-M050-02;brakkvanns-strandeng;TC05-M050-02
NiN-3.0-T-C-PE-NA-MB-TC06-M050-01;fuglefjell-eng;TC06-M050-01
NiN-3.0-T-C-PE-NA-MB-TC07-M050-01;fugletopp;TC07-M050-01
NiN-3.0-T-C-PE-NA-MB-TC08-M050-01;kalkfattig til litt kalkrikt moderat til ekstremt snøleie;TC08-M050-01
NiN-3.0-T-C-PE-NA-MB-TC08-M050-02;sterkt kalkrikt moderat til ekstremt snøleie;TC08-M050-02
NiN-3.0-T-C-PE-NA-MB-TD01-M050-01;kalkfattig til litt kalkrik rasmark;TD01-M050-01
NiN-3.0-T-C-PE-NA-MB-TD01-M050-02;sterkt kalkrik rasmark;TD01-M050-02
NiN-3.0-T-C-PE-NA-MB-TD02-M050-01;flomskredmark;TD02-M050-01
NiN-3.0-T-C-PE-NA-MB-TD03-M050-01;kalkfattig til litt kalkrik rasmarkeng og -hei;TD03-M050-01
NiN-3.0-T-C-PE-NA-MB-TD03-M050-02;klart kalkrik rasmarkeng og -hei;TD03-M050-02
NiN-3.0-T-C-PE-NA-MB-TD04-M050-01;fosse-eng;TD04-M050-01
NiN-3.0-T-C-PE-NA-MB-TD05-M050-01;naturlig beitebetinget eng;TD05-M050-01
NiN-3.0-T-C-PE-NA-MB-TD06-M050-01;kalkfattig til litt kalkrik rabbe;TD06-M050-01
NiN-3.0-T-C-PE-NA-MB-TD06-M050-02;klart kalkrik til saltanriket rabbe;TD06-M050-02
NiN-3.0-T-C-PE-NA-MB-TE01-M050-01;kyst-sanddynemark;TE01-M050-01
NiN-3.0-T-C-PE-NA-MB-TE01-M050-02;innlands-sanddynemark;TE01-M050-02
NiN-3.0-T-C-PE-NA-MB-TE02-M050-01;leir- og siltskred;TE02-M050-01
NiN-3.0-T-C-PE-NA-MB-TE02-M050-02;sandskred;TE02-M050-02
NiN-3.0-T-C-PE-NA-MB-TE02-M050-03;grusskred;TE02-M050-03
NiN-3.0-T-C-PE-NA-MB-TE03-M050-01;åpen flomfastmark;TE03-M050-01
NiN-3.0-T-C-PE-NA-MB-TE04-M050-01;langvarig oversvømt flommark;TE04-M050-01
NiN-3.0-T-C-PE-NA-MB-TE05-M050-01;kalkfattig til litt kalkrik oppfrysingsmark;TE05-M050-01
NiN-3.0-T-C-PE-NA-MB-TE05-M050-02;sterkt kalkrik oppfrysingsmark;TE05-M050-02
NiN-3.0-T-C-PE-NA-MB-TE06-M050-01;marin driftvoll;TE06-M050-01
NiN-3.0-T-C-PE-NA-MB-TE07-M050-01;feskvannsdriftvoll;TE07-M050-01
NiN-3.0-T-C-PE-NA-MB-TE08-M050-01;flommarkseng;TE08-M050-01
NiN-3.0-T-C-PE-NA-MB-TE09-M050-01;kalkfattig isinnfrysingsmark;TE09-M050-01
NiN-3.0-T-C-PE-NA-MB-TE09-M050-02;intermediær til litt kalkrik isinnfrysingsmark;TE09-M050-02
NiN-3.0-T-C-PE-NA-MB-TE09-M050-03;klart kalkrik isinnfrysingsmark;TE09-M050-03
NiN-3.0-T-C-PE-NA-MB-TF01-M050-01;sand- og dyneskogsmark;TF01-M050-01
NiN-3.0-T-C-PE-NA-MB-TF02-M050-01;ferskvanns-flomskogsmark;TF02-M050-01
NiN-3.0-T-C-PE-NA-MB-TF02-M050-02;brakkvanns-flomskogsmark;TF02-M050-02
NiN-3.0-T-C-PE-NA-MB-TG01-M050-01;fjellnatur-pregede kalkfattige til svakt kalkrike stedegne grus-løsmasser, stein og blokkmark;TG01-M050-01
NiN-3.0-T-C-PE-NA-MB-TG01-M050-02;fjellnatur-pregede sterkt kalkrike stedegne grus-løsmasser, stein og blokkmark;TG01-M050-02
NiN-3.0-T-C-PE-NA-MB-TG01-M050-03;moreneblokkmark;TG01-M050-03
