M005-langkode;HTKode
NiN-3.0-T-C-PE-NA-MB-MA05-M005-04;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-05;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-06;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-07;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-08;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-09;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-10;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-11;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-12;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-13;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-14;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA05-M005-15;NA-MA05
NiN-3.0-T-C-PE-NA-MB-MA06-M005-01;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-02;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-03;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-04;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-05;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-06;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-07;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-08;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-09;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-10;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-11;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-12;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-13;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-14;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-15;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-16;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-17;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-18;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-19;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-20;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-21;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-22;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-23;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-24;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-25;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-26;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-27;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-28;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-29;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-30;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MA06-M005-31;NA-MA06
NiN-3.0-T-C-PE-NA-MB-MB01-M005-01;NA-MB01
NiN-3.0-T-C-PE-NA-MB-MB01-M005-02;NA-MB01
NiN-3.0-T-C-PE-NA-MB-MB01-M005-03;NA-MB01
NiN-3.0-T-C-PE-NA-MB-MB02-M005-01;NA-MB02
NiN-3.0-T-C-PE-NA-MB-MB03-M005-01;NA-MB03
NiN-3.0-T-C-PE-NA-MB-MB03-M005-02;NA-MB03
NiN-3.0-T-C-PE-NA-MB-MC01-M005-01;NA-MC01
NiN-3.0-T-C-PE-NA-MB-MC01-M005-02;NA-MC01
NiN-3.0-T-C-PE-NA-MB-MC02-M005-01;NA-MC02
NiN-3.0-T-C-PE-NA-MB-MC02-M005-02;NA-MC02
NiN-3.0-T-C-PE-NA-MB-MC02-M005-03;NA-MC02
NiN-3.0-T-C-PE-NA-MB-MC02-M005-04;NA-MC02
NiN-3.0-T-C-PE-NA-MB-MC02-M005-05;NA-MC02
NiN-3.0-T-C-PE-NA-MB-MC02-M005-06;NA-MC02
NiN-3.0-T-C-PE-NA-MB-MC02-M005-07;NA-MC02
NiN-3.0-T-C-PE-NA-MB-MC02-M005-08;NA-MC02
NiN-3.0-T-C-PE-NA-MB-MC02-M005-09;NA-MC02
NiN-3.0-T-C-PE-NA-MB-MC03-M005-01;NA-MC03
NiN-3.0-T-C-PE-NA-MB-MC03-M005-02;NA-MC03
NiN-3.0-T-C-PE-NA-MB-MC03-M005-03;NA-MC03
NiN-3.0-T-C-PE-NA-MB-MC03-M005-04;NA-MC03
NiN-3.0-T-C-PE-NA-MB-MC04-M005-01;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC04-M005-02;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC04-M005-03;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC04-M005-04;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC04-M005-05;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC04-M005-06;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC04-M005-07;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC04-M005-08;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC04-M005-09;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC04-M005-10;NA-MC04
NiN-3.0-T-C-PE-NA-MB-MC05-M005-01;NA-MC05
NiN-3.0-T-C-PE-NA-MB-MC05-M005-02;NA-MC05
NiN-3.0-T-C-PE-NA-MB-MC05-M005-03;NA-MC05
NiN-3.0-T-C-PE-NA-MB-MC06-M005-01;NA-MC06
NiN-3.0-T-C-PE-NA-MB-MC06-M005-02;NA-MC06
NiN-3.0-T-C-PE-NA-MB-MC06-M005-03;NA-MC06
NiN-3.0-T-C-PE-NA-MB-MC06-M005-04;NA-MC06
