GTKode;forrigekode;FP;SP;Klasse;url
TI01-03;NA T4-9;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-9
TI01-03;NA T4-10;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-10
TI01-03;NA T4-13;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-13
TI01-03;NA T4-14;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-14
TI01-04;NA T4-11;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-11
TI01-04;NA T4-12;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-12
TI01-04;NA T4-15;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-15
TI01-04;NA T4-16;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-16
TI01-05;NA T4-1;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-1
TI01-05;NA T4-2;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-2
TI01-05;NA T4-5;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-5
TI01-05;NA T4-6;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-6
TI01-05;T38-1;1;4;GT;
TI01-06;NA T4-3;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-3
TI01-06;NA T4-4;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-4
TI01-06;NA T4-7;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-7
TI01-06;NA T4-8;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-8
TI01-06;T38-1;1;4;GT;
TI01-07;NA T4-9;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-9
TI01-07;NA T4-10;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-10
TI01-07;NA T4-13;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-13
TI01-07;NA T4-14;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-14
TI01-08;NA T4-11;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-11
TI01-08;NA T4-12;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-12
TI01-08;NA T4-15;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-15
TI01-08;NA T4-16;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-16
TK01-13;NA T32-1;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-1
TK01-13;NA T32-2;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-2
TK01-14;NA T32-13;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-13
TK01-14;NA T32-14;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-14
TK01-16;NA T32;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32
TK01-16;NA T32-6;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-6
TK01-16;NA T32-7;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-7
TK01-16;NA T32-9;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-9
TK01-16;NA T32-10;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-10
TK01-25;NA T32-11;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-11
TK01-25;NA T32-12;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-12
TK01-02;NA T32-3;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-3
TK01-02;NA T32-6;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-6
TK01-05;NA T32-15;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-15
TK01-05;NA T32-17;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-17
