Grunntype_kode;Basistrinn_csv
NA-T1-75;VS-e, KA-ghi, HF-0ab
NA-T1-76;VS-e, KA-ghi, HF-+
NA-T1-77;KA-abcd, UE-0abc, LA-0abcd
NA-T1-78;KA-abcd, UE-defg, LA-0abcd
NA-T1-79;KA-efghi, UE-0abc, LA-0abcd
NA-T1-80;KA-efghi, UE-defg, LA-0abcd
NA-T1-81;KA-abcd, UE-0abcdefg, SV-abcd
NA-T1-82;KA-efghi, UE-0abcdefg, SV-abcd
NA-T1-83;KA-abcd, UE-0abcdefg, VI-bc
NA-T1-84;KA-efghi, UE-0abcdefg, VI-bc
NA-T1-85;KA-abcdefghi, UE-0abcdefg, NG-bcd¤
NA-T2-1;KA-abc, UF-def
NA-T2-2;KA-abc, UF-gh
NA-T2-3;KA-de, UF-def
NA-T2-4;KA-de, UF-gh
NA-T2-5;KA-fg, UF-def
NA-T2-6;KA-fg, UF-gh
NA-T2-7;KA-hi, UF-def
NA-T2-8;KA-hi, UF-gh
NA-T3-1;KA-abc, UF-bc
NA-T3-2;KA-abc, UF-de
NA-T3-3;KA-abc, UF-fg
NA-T3-4;KA-de, UF-bc
NA-T3-5;KA-de, UF-de
NA-T3-6;KA-de, UF-fg
NA-T3-7;KA-fg, UF-bc
NA-T3-8;KA-fg, UF-de
NA-T3-9;KA-fg, UF-fg
NA-T3-10;KA-hi, UF-bc
NA-T3-11;KA-hi, UF-de
NA-T3-12;KA-hi, UF-fg
NA-T3-13;KA-de, UF-fg, KI-bc
NA-T3-14;KA-fghi, UF-fg, KI-bc
NA-T4-1;UF-ab, KA-abc
NA-T4-2;UF-ab, KA-de
NA-T4-3;UF-ab, KA-fg
NA-T4-4;UF-ab, KA-hi
NA-T4-5;UF-cd, KA-abc
NA-T4-6;UF-cd, KA-de
NA-T4-7;UF-cd, KA-fg
NA-T4-8;UF-cd, KA-hi
NA-T4-9;UF-ef, KA-abc
NA-T4-10;UF-ef, KA-de
NA-T4-11;UF-ef, KA-fg
NA-T4-12;UF-ef, KA-hi
NA-T4-13;UF-gh, KA-abc
NA-T4-14;UF-gh, KA-de
NA-T4-15;UF-gh, KA-fg
NA-T4-16;UF-gh, KA-hi
NA-T4-17;UF-ab, KA-de, KI-bc
NA-T4-18;UF-ab, KA-fghi, KI-bc
NA-T4-19;UF-cd, KA-fghi, KI-bc
NA-T4-20;UF-ef, KA-fghi, KI-bc
NA-T5-1;Gs-a, KA-abc
NA-T5-2;Gs-a, KA-defg
NA-T5-3;Gs-a, KA-hi
NA-T5-4;Gs-bc, KA-abcdefg
NA-T5-5;Gs-bc, KA-hi
NA-T5-6;Gs-¤, KA-abcdefg
NA-T5-7;Gs-¤, KA-hi
NA-T5-8;Gs-a, KA-abc, UE-defg
NA-T5-9;Gs-a, KA-defg, UE-defg
NA-T5-10;Gs-a, KA-hi, UE-defg
NA-T6-1;TV-i, KA-bcde, VF-0abcde, HF-0ab, IF-0ab
NA-T6-2;TV-j, KA-bcde, VF-0abcde, HF-0ab, IF-0ab
NA-T6-3;TV-k, KA-bcde, VF-0abcde, HF-0ab, IF-0ab
NA-T6-4;TV-k, KA-fghi, VF-0abcde, HF-0ab, IF-0ab
NA-T6-5;TV-i, KA-bcde, VF-fgh¤, HF-0ab, IF-0ab
NA-T6-6;TV-j, KA-bcde, VF-0abcde, HF-+, IF-0ab
NA-T6-7;TV-k, KA-bcde, VF-0abcde, HF-0ab, IF-¤
NA-T7-1;KA-a, SV-ab
NA-T7-2;KA-bc, SV-ab
NA-T7-3;KA-de, SV-ab
NA-T7-4;KA-bcde, SV-cd
NA-T7-5;KA-bcde, SV-ef
NA-T7-6;KA-fg, SV-ab
NA-T7-7;KA-fg, SV-cd
NA-T7-8;KA-hi, SV-ab
NA-T7-9;KA-hi, SV-cd
NA-T7-10;KA-fghi, SV-ef
NA-T7-11;KA-bcde, SV-¤
NA-T7-12;KA-de, SV-ab, KI-bc
NA-T7-13;KA-fg, SV-ab, KI-bc
NA-T7-14;KA-hi, SV-ab, KI-bc
NA-T8-1;UF-abcd, NG-ab
NA-T8-2;UF-abcd, NG-cd
NA-T8-3;UF-abcd, NG-¤
NA-T8-4;UF-abcd, NG-ab, KI-bc
NA-T8-5;UF-efgh, NG-ab
NA-T9-1;KA-cde, NG-ab, PF-a, IO-b¤
NA-T9-2;Ka-fghi, NG-ab, PF-a, IO-b¤
NA-T10-1;VI-0, AS-a
NA-T10-2;VI-abc, AS-a
NA-T11-1;S1-de, TV-cdefgh, SF-b¤
NA-T11-2;S1-de, TV-ijk, SF-b¤
NA-T11-3;S1-hi, TV-cdefgh, SF-b¤
NA-T12-1;TV-cd, SA-abcdef
NA-T12-2;TV-ef, SA-abcdef
NA-T12-3;TV-gh, SA-abcdef
NA-T12-4;TV-ijk, SA-abcdef
NA-T13-1;UE-defg, KA-abc, S1-c, RU-bcde
NA-T13-2;UE-defg, KA-abc, S1-c, RU-bcde
NA-T13-3;UE-defg, KA-abc, S1-def, RU-bcde
NA-T13-4;UE-defg, KA-defg, S1-c, RU-bcde
NA-T13-5;UE-defg, KA-defg, S1-c, RU-bcde
NA-T13-6;UE-defg, KA-defg, S1-def, RU-bcde
NA-T13-7;UE-defg, KA-hi, S1-c, RU-bcde
NA-T13-8;UE-defg, KA-hi, S1-c, RU-bcde
NA-T13-9;UE-defg, KA-hi, S1-def, RU-bcde
NA-T13-10;UE-abc, KA-abc, S1-c, RU-bcde
NA-T13-11;UE-abc, KA-abc, S1-c, RU-bcde
NA-T13-12;UE-abc, KA-defg, S1-c, RU-bcde
NA-T13-13;UE-abc, KA-defg, S1-c, RU-bcde
NA-T13-14;UE-abc, KA-hi, S1-c, RU-bcde
NA-T13-15;UE-abc, KA-hi, S1-c, RU-bcde
NA-T13-16;UE-abc, KA-abcdefghi, S1-c, RU-¤
NA-T13-17;UE-abc, KA-abcdefghi, S1-c, RU-¤
NA-T13-18;UE-abc, KA-abcdefghi, S1-def, RU-¤
NA-T14-1;VI-abc, KA-abcde
NA-T14-2;VI-abc, KA-fghi
NA-T14-3;VI-¤, KA-abcdefghi
NA-T15-1;KA-cde, VS-bcd
NA-T15-2;Ka-fghi, VS-bcd
NA-T16-1;KA-abc, KI-0a, RU-bc
NA-T16-2;KA-de, KI-0a, RU-bc
NA-T16-3;KA-fg, KI-0a, RU-bc
NA-T16-4;KA-hi, KI-0a, RU-bc
NA-T16-5;KA-de, KI-bc, RU-bc
NA-T16-6;KA-fghi, KI-bc, RU-bc
NA-T16-7;KA-abcdefghi, KI-0a, RU-de
NA-T17-1;S1-0, SU-bc
NA-T17-2;S1-de, SU-bc
NA-T17-3;S1-fg, SU-bc
NA-T17-4;S1-hi, SU-bc
NA-T18-1;S1-cde, VF-f
NA-T18-2;S1-fg, VF-f
NA-T18-3;S1-hi, VF-f
NA-T18-4;S1-abcdefghi, VF-gh¤
NA-T18-5;S1-cde, VF-f, KA-fgh
NA-T18-6;S1-fg, VF-f, FR-a
NA-T19-1;S1-cd, KA-bcde, PF-a, OF-a
NA-T19-2;S1-cd, KA-fghi, PF-a, OF-a
NA-T19-3;S1-h, PF-a, OF-a
NA-T20-1;KA-cde, IF-b
NA-T20-2;KA-fgh, IF-b
NA-T21-1;SS-a
NA-T21-2;SS-bc
NA-T21-3;SS-d
NA-T21-4;SS-ef
NA-T21-5;SS-gh
NA-T21-6;SS-i
NA-T21-7;SS-efgh, VI-¤
NA-T21-8;SS-ghi, VM-ab
NA-T22-1;KA-bcde, SV-0, JF-ab
NA-T22-2;KA-bcde, SV-ab, JF-ab
NA-T22-3;KA-fgh, SV-0, JF-ab
NA-T22-4;KA-fgh, SV-ab, JF-ab
NA-T23;TV-k, IO-¤
NA-T24-1;VF-cd, TV-k, IO-¤, SA-abcdef+
NA-T24-2;VF-e, TV-k, IO-¤, SA-abcdef+
NA-T24-3;VF-f, TV-k, IO-¤, SA-abcdef+
NA-T25-1;S1-0, SH-a
NA-T25-2;S1-de, SH-a
NA-T25-3;S1-fg, SH-a
NA-T25-4;S1-hi, SH-a
NA-T26-1;SV-0, VM-0a, SH-b
NA-T26-2;SV-0, VM-b, SH-b
