natursystemNavn;natursystemKode;hovedtypegruppeNavn;hovedtypeGruppeKode;hovedtypeNavn;hovedtypeKode;miljovariabelType;miljovariabelHovedtype;miljovariabelKode;miljovariabelNavn;trinnKode;trinnNavn;basistrinnNavn
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;DL;Dybderelatert lyssvekking;M1-DL_2;;DL-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;DL;Dybderelatert lyssvekking;M1-DL_2;;DL-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Eufotisk fast saltvannsbunn;NA M1;Miljøvariabel;NA M1;DL;Dybderelatert lyssvekking;M1-DL_3;;DL-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;S1;Dominerende kornstørrelsesklasse;M2-S1_1;fast fjell;S1-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;S1;Dominerende kornstørrelsesklasse;M2-S1_2;blokker;S1-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;RU;Rasutsatthet;M2-RU_1;uten raspreg til litt raspreget;RU-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;RU;Rasutsatthet;M2-RU_1;uten raspreg til litt raspreget;RU-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;RU;Rasutsatthet;M2-RU_1;uten raspreg til litt raspreget;RU-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;RU;Rasutsatthet;M2-RU_2;temmelig til svært sterkt raspreget;RU-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;RU;Rasutsatthet;M2-RU_2;temmelig til svært sterkt raspreget;RU-d
