HT;Hovedtypenavn;LKM kategori;Gradientkodedefinisjon;Gradientkode;Trinn1;Trinn1 csv;Trinn1 navn;Trinn2;Trinn2 csv;Trinn2 navn;Trinn3;Trinn3 csv;Trinn3 navn;Trinn4;Trinn4 csv;Trinn4 navn;Trinn5;Trinn5 csv;Trinn5 navn;Trinn6;Trinn6 csv;Trinn6 navn;Tags
T40;Sterkt endret fastmark med preg av semi-naturlig eng [vegkanter, plener, parker og liknende med semi-naturlig engpreg] ;uLKM;UF-ab|cde;UF;T40-UF_1;UF-a,UF-b;temmelig frisk og frisk;T40-UF_2;UF-c,UF-d,UF-e;litt frisk til litt tørkeutsatt;;;;;;;;;;;;;Trinn
T40;Sterkt endret fastmark med preg av semi-naturlig eng [vegkanter, plener, parker og liknende med semi-naturlig engpreg] ;uLKM;KA-cde|fgh;KA;T40-KA_1;KA-c,KA-d,KA-e;litt kalkfattig og intermediær;T40-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T40;Sterkt endret fastmark med preg av semi-naturlig eng [vegkanter, plener, parker og liknende med semi-naturlig engpreg] ;uLKM;VM-0a|b;VM;T40-VM_1;VM-0, VM-a;veldrenert mark;T40-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T40;Sterkt endret fastmark med preg av semi-naturlig eng [vegkanter, plener, parker og liknende med semi-naturlig engpreg] ;uLKM;SP-0|a;SP;T40-SP_1;SP-0;beitepreget;T40-SP_2;SP-a;slåttepreget;;;;;;;;;;;;;Trinn
T40;Sterkt endret fastmark med preg av semi-naturlig eng [vegkanter, plener, parker og liknende med semi-naturlig engpreg] ;uLKM;SA-0|abcdef;SA;T40-SA_1;SA-0;ikke saltpåvirket (fersk);T40-SA_2;SA-a,SA-b,SA-c,SA-d,SA-e,SA-f;saltpåvirket (svært brakt til salt);;;;;;;;;;;;;Trinn
T40;Sterkt endret fastmark med preg av semi-naturlig eng [vegkanter, plener, parker og liknende med semi-naturlig engpreg] ;uLKM;SS-fghi|jk+;SS;T40-SS_1;SS-f,SS-g,SS-h,SS-i;stabilisert sand;T40-SS_2;SS-j,SS-k,SS-+;uten preg av sandmark;;;;;;;;;;;;;Trinn
T41;Oppdyrket mark med preg av semi-naturlig eng [oppdyret mark med semi-naturlig engpreg] ;uLKM;HI-d|e;HI;T41-HI_1;HI-d;typisk ekstensivt hevdpreg;T41-HI_2;HI-e;ekstensivt hevdpreg med svakt preg av gjødsling;;;;;;;;;;;;;Trinn
T41;Oppdyrket mark med preg av semi-naturlig eng [oppdyret mark med semi-naturlig engpreg] ;uLKM;SP-0|a;SP;T41-SP_1;SP-0;beitepreget;T41-SP_2;SP-a;slåttepreget;;;;;;;;;;;;;Trinn
T41;Oppdyrket mark med preg av semi-naturlig eng [oppdyret mark med semi-naturlig engpreg] ;uLKM;VM-0a|b;VM;T41-VM_1;VM-0, VM-a;veldrenert mark;T41-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T41;Oppdyrket mark med preg av semi-naturlig eng [oppdyret mark med semi-naturlig engpreg] ;uLKM;KA-cde|fgh;KA;T41-KA_1;KA-c,KA-d,KA-e;kalkfattig og intermediær;T41-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T42;Sterkt endret, hyppig bearbeidet fastmark med intensivt hevdpreg [blomsterbed og annen hyppig bearbeidet mark] ;;;;;;;;;;;;;;;;;;;;;;
T43;Sterkt endret, varig fastmark med intensivt hevdpreg [plener, parker og liknende uten semi-naturlig engpreg] ;uLKM;KA-cde|fgh;KA;T43-KA_1;KA-c,KA-d,KA-e;kalkfattig og intermediær;T43-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T43;Sterkt endret, varig fastmark med intensivt hevdpreg [plener, parker og liknende uten semi-naturlig engpreg] ;uLKM;HI-fg|hi|j;HI;T43-HI_1;HI-f,HI-g;litt intensivt hevdpreg;T43-HI_2;HI-h,HI-i;temmelig intensivt hevdpreg;T43-HI_3;HI-j;svært intensivt hevdpreg;;;;;;;;;;Trinn
T43;Sterkt endret, varig fastmark med intensivt hevdpreg [plener, parker og liknende uten semi-naturlig engpreg] ;uLKM;VM-0a|b;VM;T43-VM_1;VM-0, VM-a;veldrenert mark;T43-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T44;Åker ;uLKM;KA-cde|fgh;KA;T44-KA_1;KA-c,KA-d,KA-e;kalkfattig og intermediær;T44-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T44;Åker ;uLKM;S1-0|efg|hi;S1;T44-S1_1;S1-0;mineraljordfattig jord;T44-S1_2;S1-e,S1-f,S1-g;jord med høyt innhold av fin grus og sand;T44-S1_3;S1-h,S1-i;jord med høyt silt- og leirinnhold;;;;;;;;;;Trinn
T44;Åker ;uLKM;VM-0a|b;VM;T44-VM_1;VM-0, VM-a;veldrenert mark;T44-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
T45;Oppdyrket varig eng ;hLKM;HI-gh|hi|j;HI;T45-HI_1;HI-g,HI-h;;T45-HI_2;HI-h,HI-i;;T45-HI_3;HI-j;;;;;;;;;;;Trinn
T45;Oppdyrket varig eng ;tLKM;SP-0|a;SP;T45-SP_1;SP-0;;T45-SP_2;SP-a;;;;;;;;;;;;;;Trinn
T45;Oppdyrket varig eng ;uLKM;S1-0|efg|hi;S1;T45-S1_1;S1-0;mineraljordfattig jord;T45-S1_2;S1-e,S1-f,S1-g;jord med høyt innhold av fin grus og sand;T45-S1_3;S1-h,S1-i;jord med høyt silt- og leirinnhold;;;;;;;;;;Trinn
T45;Oppdyrket varig eng ;uLKM;KA-cde|fgh;KA;T45-KA_1;KA-c,KA-d,KA-e;litt kalkfattig og intermediær;T45-KA_2;KA-f,KA-g,KA-h;kalkrik;;;;;;;;;;;;;Trinn
T45;Oppdyrket varig eng ;uLKM;VM-0a|b;VM;T45-VM_1;VM-0, VM-a;veldrenert mark;T45-VM_2;VM-b;fuktmark;;;;;;;;;;;;;Trinn
V1;Åpen jordvannsmyr;hLKM;KA-ab|cd|ef|gh|i;KA;V1-KA_1;KA-a,KA-b;;V1-KA_2;KA-c,KA-d;;V1-KA_3;KA-e,KA-f;;V1-KA_4;KA-g,KA-h;;V1-KA_5;KA-i;;;;;Trinn
V1;Åpen jordvannsmyr;hLKM;TV-cd|ef|gh|ij|k;TV;V1-TV_1;TV-c,TV-d;;V1-TV_2;TV-e,TV-f;;V1-TV_3;TV-g,TV-h;;V1-TV_4;TV-i,TV-j;;V1-TV_5;TV-k;;;;;Trinn
V1;Åpen jordvannsmyr;tLKM;KI-0|bc;KI;V1-KI_1;KI-0;;V1-KI_2;KI-b,KI-c;;;;;;;;;;;;;;Trinn
V1;Åpen jordvannsmyr;tLKM;MF-cd|ef;MF;V1-MF_1;MF-c,MF-d;;V1-MF_2;MF-e,MF-f;;;;;;;;;;;;;;Trinn
V1;Åpen jordvannsmyr;tLKM;SA-0a|bcd;SA;V1-SA_1;SA-0,SA-a;;V1-SA_2;SA-b,SA-c,SA-d;;;;;;;;;;;;;;Trinn
V1;Åpen jordvannsmyr;uLKM;TE-0|¤;TE;V1-TE_1;TE-0;torvakkumulering;V1-TE_2;TE-¤;torvakkumuleringsstillstand;;;;;;;;;;;;;Trinn
V1;Åpen jordvannsmyr;uLKM;VT-0|b;VT;V1-VT_1;VT-0;jordvannsmyr;V1-VT_2;VT-b;elvevannsflommyr;;;;;;;;;;;;;Trinn
V2;Myr- og sumpskogsmark;hLKM;KA-abcd|ef|ghi;KA;V2-KA_1;KA-a,KA-b,KA-c,KA-d;;V2-KA_2;KA-e,KA-f;;V2-KA_3;KA-g,KA-h,KA-i;;;;;;;;;;;Trinn
V2;Myr- og sumpskogsmark;tLKM;KI-0a|bc;KI;V2-KI_1;KI-0,KI-a;;V2-KI_2;KI-b,KI-c;;;;;;;;;;;;;;Trinn
V2;Myr- og sumpskogsmark;tLKM;TV-cdef|ghijk;TV;V2-TV_1;TV-c,TV-d,TV-e,TV-f;;V2-TV_2;TV-g,TV-h,TV-i,TV-j,TV-k;;;;;;;;;;;;;;Trinn
V3;Nedbørsmyr ;hLKM;TV-cd|ef|gh|ij|k;TV;V3-TV_1;TV-c,TV-d;;V3-TV_2;TV-e,TV-f;;V3-TV_3;TV-g,TV-h;;V3-TV_4;TV-i,TV-j;;V3-TV_5;TV-k;;;;;Trinn
V3;Nedbørsmyr ;tLKM;VI-0|ab;VI;V3-VI_1;VI-0;;V3-VI_2;VI-a,VI-b;;;;;;;;;;;;;;Trinn
V3;Nedbørsmyr ;tLKM;MF-cd|ef;MF;V3-MF_1;MF-c,MF-d;;V3-MF_2;MF-e,MF-f;;;;;;;;;;;;;;Trinn
V3;Nedbørsmyr ;uLKM;TE-0|¤;TE;V3-TE_1;TE-0;torvakkumulering;V3-TE_2;TE-¤;torvakkumuleringsstillstand;;;;;;;;;;;;;Trinn
V4;Kaldkilde ;hLKM;KA-cd|ef|ghi;KA;V4-KA_1;KA-c,KA-d;;V4-KA_2;KA-e,KA-f;;V4-KA_3;KA-g,KA-h,KA-i;;;;;;;;;;;Trinn
V4;Kaldkilde ;tLKM;KT-a|b;KT;V4-KT_1;KT-a;;V4-KT_2;KT-b;;;;;;;;;;;;;;Trinn
V4;Kaldkilde ;tLKM;KI-de|¤;KI;V4-KI_1;KI-d,KI-e;;V4-KI_2;KI-¤;;;;;;;;;;;;;;Trinn
V4;Kaldkilde ;uLKM;HI-0|a;HI;V4-HI_1;HI-0;uten hevdpreg;V4-HI_2;HI-a;beitepreget;;;;;;;;;;;;;Trinn
V5;Varm kilde ;tLKM;JV-a|b;JV;V5-JV_1;JV-a;;V5-JV_2;JV-b;;;;;;;;;;;;;;Trinn
V6;Våtsnøleie og snøleiekilde ;hLKM;SV-ab|cd|ef;SV;V6-SV_1;SV-a,SV-b;;V6-SV_2;SV-c,SV-d;;V6-SV_3;SV-e,SV-f;;;;;;;;;;;Trinn
V6;Våtsnøleie og snøleiekilde ;tLKM;KI-bc|de;KI;V6-KI_1;KI-b,KI-c;;V6-KI_2;KI-d,KI-e;;;;;;;;;;;;;;Trinn
V6;Våtsnøleie og snøleiekilde ;tLKM;KA-cdef|ghi;KA;V6-KA_1;KA-c,KA-d,KA-e,KA-f;;V6-KA_2;KA-g,KA-h,KA-i;;;;;;;;;;;;;;Trinn
V7;Arktisk permafrost-våtmark ;tLKM;KA-cdef|ghi;KA;V7-KA_1;KA-c,KA-d,KA-e,KA-f;;V7-KA_2;KA-g,KA-h,KA-i;;;;;;;;;;;;;;Trinn
V7;Arktisk permafrost-våtmark ;uLKM;TV-c|d;TV;V7-TV_1;TV-c;nedre mykmatte;V7-TV_2;TV-d;øvre mykmatte;;;;;;;;;;;;;Trinn
V8;Strandsumpskogsmark ;tLKM;SA-0a|bcd;SA;V8-SA_1;SA-0,SA-a;;V8-SA_2;SA-b,SA-c,SA-d;;;;;;;;;;;;;;Trinn
V8;Strandsumpskogsmark ;tLKM;KA-cde|fgh;KA;V8-KA_1;KA-c,KA-d,KA-e;;V8-KA_2;KA-f,KA-g,KA-h;;;;;;;;;;;;;;Trinn
V9;Semi-naturlig myr ;hLKM;KA-bcd|ef|ghi;KA;V9-KA_1;KA-b,KA-c,KA-d;;V9-KA_2;KA-e,KA-f;;V9-KA_3;KA-g,KA-h,KA-i;;;;;;;;;;;Trinn
V9;Semi-naturlig myr ;uLKM;SP-0|a;SP;V9-SP_1;SP-0;beitepreget;V9-SP_2;SP-a;slåttepreget;;;;;;;;;;;;;Trinn
V9;Semi-naturlig myr ;uLKM;KI-0a|bc;KI;V9-KI_1;KI-0,KI-a;uten eller bare med observerbar kildevannspåvirkning;V9-KI_2;KI-b,KI-c;svak kildevannspåvirkning;;;;;;;;;;;;;Trinn
V9;Semi-naturlig myr ;uLKM;TV-def|ghi;TV;V9-TV_1;TV-d,TV-e,TV-f;mykmatte/ nedre fastmatte;V9-TV_2;TV-g,TV-h,TV-i;øvre fastmatte/ nedre tue;;;;;;;;;;;;;Trinn
V10;Semi-naturlig våteng ;tLKM;KA-cde|fgh;KA;V10-KA_1;KA-c,KA-d,KA-e;;V10-KA_2;KA-f,KA-g,KA-h;;;;;;;;;;;;;;Trinn
V10;Semi-naturlig våteng ;uLKM;SP-0|a;SP;V10-SP_1;SP-0;beitepreget;V10-SP_2;SP-a;slåttepreget;;;;;;;;;;;;;Trinn
V10;Semi-naturlig våteng ;tLKM;KI-0a|bc;KI;V10-KI_1;KI-0,KI-a;;V10-KI_2;KI-b,KI-c;;;;;;;;;;;;;;Trinn
V11;Torvtak ;tLKM;KA-abcd|efghi;KA;V11-KA_1;KA-a,KA-b,KA-c,KA-d;;V11-KA_2;KA-e,KA-f,KA-g,KA-h,KA-i;;;;;;;;;;;;;;Trinn
V12;Grøftet torvmark ;tLKM;KA-abcd|efghi;KA;V12-KA_1;KA-a,KA-b,KA-c,KA-d;;V12-KA_2;KA-e,KA-f,KA-g,KA-h,KA-i;;;;;;;;;;;;;;Trinn
V12;Grøftet torvmark ;tLKM;VT-0|a;VT;V12-VT_1;VT-0;;V12-VT_2;VT-a;;;;;;;;;;;;;;Trinn
V13;Ny våtmark ;tLKM;IO-0a|b¤;IO;V13-IO_1;IO-0,IO-a;;V13-IO_2;IO-b,IO-¤;;;;;;;;;;;;;;Trinn
V13;Ny våtmark ;tLKM;HS-A|B|C|D;HS;V13-HS_1;HS-A;;V13-HS_2;HS-B;;V13-HS_3;HS-C;;V13-HS_4;HS-D;;;;;;;;Trinn
V13;Ny våtmark ;uLKM;KA-abcd|efgh;KA;V13-KA_1;KA-a,KA-b,KA-c,KA-d;kalkfattig og svak intermediær;V13-KA_2;KA-e,KA-f,KA-g,KA-h;sterk intermediær og kalkrik;;;;;;;;;;;;;Trinn
H1;Havvannmasser;hLKM;DM-0|a|bcd|ef;DM;H1-DM_1;DM-0;;H1-DM_2;DM-a;;H1-DM_3;DM-b,DM-c,DM-d;;H1-DM_4;DM-e,DM-f;;;;;;;;Trinn
H1;Havvannmasser;tLKM;KY-0|a;KY;H1-KY_1;KY-0;;H1-KY_2;KY-a;;;;;;;;;;;;;;Trinn
H1;Havvannmasser;uLKM;JV-0a|bcde¤;JV;H1-JV_1;JV-0,JV-a;ikke eller observerbart jordvarmeinfluert;H1-JV_2;JV-b,JV-c,JV-d,JV-e,JV-¤;litt til disruptivt jordvarmeinfluert;;;;;;;;;;;;;Trinn
H2;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster [vannmasser i fjorder, poller og litoralbasseng] ;hLKM;SM-a|bc|def|gh|i|¤;SM;H2-SM_1;SM-a;;H2-SM_2;SM-b,SM-c;;H2-SM_3;SM-d,SM-e,SM-f;;H2-SM_4;SM-g,SM-h;;H2-SM_5;SM-i;;H2-SM_6;SM-¤;;Trinn
H2;Sirkulerende vannmasser i fysisk avgrensete saltvannsforekomster [vannmasser i fjorder, poller og litoralbasseng] ;tLKM;SA-abc|def;SA;H2-SA_1;SA-a,SA-b,SA-c;;H2-SA_2;SA-d,SA-e,SA-f;;;;;;;;;;;;;;Trinn
H3;Ikke-sirkulerende marine vannmasser i fysisk avgrensete saltvannsforekomster [ikke-sirkulerende vannmasser i fjorder og poller];dLKM;OM∙¤;OM;H3-OM_1;OM-¤;;H3-OM_2;;;;;;;;;;;;;;;Trinn
H4;Sterkt endrete marine vannmasser ;tLKM;SY-A|B|C|D;SY;H4-SY_1;SY-A;;H4-SY_2;SY-B;;H4-SY_3;SY-C;;H4-SY_4;SY-D;;;;;;;;Trinn
H4;Sterkt endrete marine vannmasser ;uLKM;SA-abc|def;SA;H4-SA_1;SA-a,SA-b,SA-c;brakt;H4-SA_2;SA-d,SA-e,SA-f;salt;;;;;;;;;;;;;Trinn
H4;Sterkt endrete marine vannmasser ;uLKM;SM-abcdef|ghi;SM;H4-SM_1;SM-a,SM-b,SM-c,SM-d,SM-e,SM-f;fjord eller poll;H4-SM_2;SM-g,SM-h,SM-i;(litoral)basseng;;;;;;;;;;;;;Trinn
F1;Elvevannmasser;tLKM;VF-bcde|fgh¤;VF;F1-VF_1;VF-b,VF-c,VF-d,VF-e;;F1-VF_2;VF-f,VF-g,VF-h,VF-¤;;;;;;;;;;;;;;Trinn
F1;Elvevannmasser;tLKM;HU-0a|bcd;HU;F1-HU_1;HU-0,HU-a;;F1-HU_2;HU-b,HU-c,HU-d;;;;;;;;;;;;;;Trinn
F1;Elvevannmasser;tLKM;KA-abcde|fghi;KA;F1-KA_1;KA-a,KA-b,KA-c,KA-d,KA-e;;F1-KA_2;KA-f,KA-g,KA-h,KA-i;;;;;;;;;;;;;;Trinn
F1;Elvevannmasser;uLKM;TU-0|a;TU;F1-TU_1;TU-0;klar;F1-TU_2;TU-a;turbid;;;;;;;;;;;;;Trinn
F2;Sirkulerende innsjøvannmasser;hLKM;SM-bc|def|ghi|¤;SM;F2-SM_1;SM-b,SM-c;;F2-SM_2;SM-d,SM-e,SM-f;;F2-SM_3;SM-g,SM-h,SM-i;;F2-SM_4;SM-¤;;;;;;;;Trinn
F2;Sirkulerende innsjøvannmasser;hLKM;KA-ab|cde|fghi;KA;F2-KA_1;KA-a,KA-b;;F2-KA_2;KA-c,KA-d,KA-e;;F2-KA_3;KA-f,KA-g,KA-h,KA-i;;;;;;;;;;;Trinn
F2;Sirkulerende innsjøvannmasser;tLKM;HU-0a|bcd;HU;F2-HU_1;HU-0,HU-a;;F2-HU_2;HU-b,HU-c,HU-d;;;;;;;;;;;;;;Trinn
F2;Sirkulerende innsjøvannmasser;tLKM;TU-0|a;TU;F2-TU_1;TU-0;;F2-TU_2;TU-a;;;;;;;;;;;;;;Trinn
F2;Sirkulerende innsjøvannmasser;uLKM;KO-0|¤;KO;F2-KO_1;KO-0;isolert;F2-KO_2;KO-¤;del av større vannsystem;;;;;;;;;;;;;Trinn
F3;Ikke-sirkulerende innsjøvannmasser ;uLKM;FK-a|b|c|d|e ;FK;F3-FK_1;FK-a;ektogen meromiksis; bunnvann som inneholder med 'fossilt' saltvann;F3-FK_2;FK-b;krenogen meromiksis; bunnvann som tilføres saltholdig kildevann;F3-FK_3;FK-c;biogen/endogen meromiksis; bunnvann med reduserende forhold og høye konsentrasjoner av oppløste jernsalter;F3-FK_4;FK-d;biogen/endogen meromiksis; høye saltkonsentrasjoner og CO2- og CH4-rikt bunnvann etter utfelling av kalk;F3-FK_5;FK-e;biogen/endogen meromiksis; høye saltkonsentrasjoner og CO2- og CH4-rikt bunnvann pga. stor tilførsel av humus;;;;Trinn
F4;Sterkt endrete elvevannmasser ;tLKM;SY-a|b|c;SY;F4-SY_1;SY-a;;F4-SY_2;SY-b;;F4-SY_3;SY-c;;;;;;;;;;;Trinn
F4;Sterkt endrete elvevannmasser ;uLKM;HU-0a|bcd;HU;F4-HU_1;HU-0,HU-a;klar;F4-HU_2;HU-b,HU-c,HU-d;humøs;;;;;;;;;;;;;Trinn
F4;Sterkt endrete elvevannmasser ;uLKM;TU-0|a ;TU;F4-TU_1;TU-0;klar;F4-TU_2;TU-a;turbid;;;;;;;;;;;;;Trinn
F4;Sterkt endrete elvevannmasser ;uLKM;VF-bcde|fgh¤;VF;F4-VF_1;VF-b,VF-c,VF-d,VF-e;meget svak til intermediær strøm (roligflytende eller hurtigstrømmende elv);F4-VF_2;VF-f,VF-g,VF-h,VF-¤;sterk til disruptiv energi (elv i stryk, fossestryk og foss);;;;;;;;;;;;;Trinn
F4;Sterkt endrete elvevannmasser ;uLKM;KA-abcde|fghi;KA;F4-KA_1;KA-a,KA-b,KA-c,KA-d,KA-e;kalkfattig og intermediær;F4-KA_2;KA-f,KA-g,KA-h,KA-i;kalkrik;;;;;;;;;;;;;Trinn
F5;Sterkt endrete innsjøvannmasser ;tLKM;SY-a|b|c|d;SY;F5-SY_1;SY-a;;F5-SY_2;SY-b;;F5-SY_3;SY-c;;F5-SY_4;SY-d;;;;;;;;Trinn
F5;Sterkt endrete innsjøvannmasser ;uLKM;SM-bc|def|ghi|¤;SM;F5-SM_1;SM-b,SM-c;dyp innsjø med sjiktete vannmasser;F5-SM_2;SM-d,SM-e,SM-f;liten og/eller grunn innsjø;F5-SM_3;SM-g,SM-h,SM-i;dam og pytt;F5-SM_4;SM-¤;temporær vannforekomst;;;;;;;Trinn
F5;Sterkt endrete innsjøvannmasser ;uLKM;KO-0|¤;KO;F5-KO_1;KO-0;isolert;F5-KO_2;KO-¤;del av større vannsystem;;;;;;;;;;;;;Trinn
F5;Sterkt endrete innsjøvannmasser ;uLKM;TU-0|a;TU;F5-TU_1;TU-0;klar;F5-TU_2;TU-a;turbid;;;;;;;;;;;;;Trinn
F5;Sterkt endrete innsjøvannmasser ;uLKM;HU-0a|bcd;HU;F5-HU_1;HU-0,HU-a;klar;F5-HU_2;HU-b,HU-c,HU-d;humøs;;;;;;;;;;;;;Trinn
F5;Sterkt endrete innsjøvannmasser ;uLKM;KA-abcde|fghi;KA;F5-KA_1;KA-a,KA-b,KA-c,KA-d,KA-e;kalkfattig;F5-KA_2;KA-f,KA-g,KA-h,KA-i;kalkrik;;;;;;;;;;;;;Trinn
I1;Snø- og isdekt fastmark;;;;;;;;;;;;;;;;;;;;;;
