col_0;Variabelgruppe;Nivå 1 Kode;;Nivå 2 Kode;;Nivå 3 Kode;Sammensatt kode;Navn;Variabeltype;Nivå 2 Kode ny;Tags
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);3;2BE-4_3;Glimmerskifer (mica schist);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);4;2BE-4_4;Granatglimmerskifer (garnet mica schist);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);5;2BE-4_5;Kalkfyllitt (calcareous phyllite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);6;2BE-4_6;Kalkglimmerskifer (calcareous mica schist);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);7;2BE-4_7;Skarn (skarn);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);10;2BE-4_10;Hornblendeskifer (hornblende schist);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);11;2BE-4_11;Grafittskifer (graphitic schist);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);15;2BE-4_15;Kalkspatmarmor (calcite marble);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);16;2BE-4_16;Dolomittmarmor (dolomite marble);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);20;2BE-4_20;Metasandstein (metasandstone);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);21;2BE-4_21;Metagråvakke (metagreywacke);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);22;2BE-4_22;Meta-arkose (meta-arkose);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);23;2BE-4_23;Kvartsitt (quartzite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);24;2BE-4_24;Kvartsskifer (quartz schist);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);25;2BE-4_25;Kiselstein (metachert);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);26;2BE-4_26;Glimmergneis (mica gneiss);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);27;2BE-4_27;Kalksilikatbergart (calc-silicate rock);B;2BE-4;Trinn
