Besys1;Nivå 1 kode;col_2;Nivå 2 kode;Nivå 2 beskrivelse;Trinn;Sammensatt_kode;Navn [og forklaring];Type;Måle-skala;Nivå 2 kode ny;Nivå 2 Tags;Tags;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);4;1AE-MB-D-ALgl_4;50 - 75 % dekning;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);5;1AE-MB-D-ALgl_5;> 75 % dekning;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALgl;Mark- og bunnlevende art - Dekning -  Svartor (Alnus glutinosus);x;1AE-MB-D-ALgl_x;Ikke registrert;A;A6;1AE-MB-D-ALgl;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALin;Mark- og bunnlevende art - Dekning -  Gråor (Alnus incana);0;1AE-MB-D-ALin_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-ALin;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALin;Mark- og bunnlevende art - Dekning -  Gråor (Alnus incana);1;1AE-MB-D-ALin_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-ALin;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALin;Mark- og bunnlevende art - Dekning -  Gråor (Alnus incana);2;1AE-MB-D-ALin_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-ALin;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALin;Mark- og bunnlevende art - Dekning -  Gråor (Alnus incana);3;1AE-MB-D-ALin_3;25 - 50 % dekning;A;A6;1AE-MB-D-ALin;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALin;Mark- og bunnlevende art - Dekning -  Gråor (Alnus incana);4;1AE-MB-D-ALin_4;50 - 75 % dekning;A;A6;1AE-MB-D-ALin;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALin;Mark- og bunnlevende art - Dekning -  Gråor (Alnus incana);5;1AE-MB-D-ALin_5;> 75 % dekning;A;A6;1AE-MB-D-ALin;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-ALin;Mark- og bunnlevende art - Dekning -  Gråor (Alnus incana);x;1AE-MB-D-ALin_x;Ikke registrert;A;A6;1AE-MB-D-ALin;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-B;Mark- og bunnlevende art - Dekning -  Bartreandel;0;1AE-MB-D-B_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-B;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-B;Mark- og bunnlevende art - Dekning -  Bartreandel;1;1AE-MB-D-B_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-B;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-B;Mark- og bunnlevende art - Dekning -  Bartreandel;2;1AE-MB-D-B_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-B;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-B;Mark- og bunnlevende art - Dekning -  Bartreandel;3;1AE-MB-D-B_3;25 - 50 % dekning;A;A6;1AE-MB-D-B;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-B;Mark- og bunnlevende art - Dekning -  Bartreandel;4;1AE-MB-D-B_4;50 - 75 % dekning;A;A6;1AE-MB-D-B;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-B;Mark- og bunnlevende art - Dekning -  Bartreandel;5;1AE-MB-D-B_5;> 75 % dekning;A;A6;1AE-MB-D-B;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-B;Mark- og bunnlevende art - Dekning -  Bartreandel;x;1AE-MB-D-B_x;Ikke registrert;A;A6;1AE-MB-D-B;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-BE;Mark- og bunnlevende art - Dekning -  Bjørkeslekta (Betula spp.);0;1AE-MB-D-BE_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-BE;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-BE;Mark- og bunnlevende art - Dekning -  Bjørkeslekta (Betula spp.);1;1AE-MB-D-BE_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-BE;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-BE;Mark- og bunnlevende art - Dekning -  Bjørkeslekta (Betula spp.);2;1AE-MB-D-BE_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-BE;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-BE;Mark- og bunnlevende art - Dekning -  Bjørkeslekta (Betula spp.);3;1AE-MB-D-BE_3;25 - 50 % dekning;A;A6;1AE-MB-D-BE;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
